LABEL	TITLE	SPEAKER	CONTENTS	
				
1	45-Year-Old To Help Candidate Understand Youth Vote	45-year-old political strategist  	"Young voters in this country aren't interested in lectures; they want a candidate who has a plan and will engage with them directly through social media, ""Eighteen- to 29-year-olds aren't watching TV; they're on their phones and online. That's where your message needs to be."""	
1	Obama Sleeping With Louisville Slugger Under Bed Now	President Obama 	"We live in a dangerous world, and it's important to be prepared to protect your family, ""If I hear anybody trying to break in, it's a relief to know that I can just reach under the bed and give them a reason to think twice about ever coming back into my house. I know Michelle sleeps a lot more easily now that I've got this piece of lumber by my side."""	
1	Egyptians Concerned About Direction Government Is Toppling In	resident Chigaru Habib 	"These protests, the military power grabs, and the looming threat of civil war all make me wonder if this is how our society should ideally collapse, and if, in fact, we are utterly falling apart in the wisest and most prudent fashion, ""I remember a time - and it wasn't very long ago - when Egypt was crumbling in harmony with the will of the Egyptian people, toppling bravely toward a future of peace and prosperity. But now it seems those days are long gone."""	
1	Apparently Facebook Friend Under Impression Ron Paul Still Running For Major Federal Office	"local man Arthur Gibson, "	"In times such as these, we require an experienced leader who is willing to stand behind the courage of his convictions and do what is right for America, and that man is Ron Paul, ""[President Barack] Obama has had his chance, and yet he has consistently failed us at every turn. Well, no more. It's time for us to take back our country."""	
1	New Iranian President Really Impressed With Country's Nuclear Arms Program	Iranian President Hasan Rowhani 	"Wow, I was originally under the impression that we were months if not years away from fully functional nuclear warheads, but they're all pretty much ready to go, ""I had no idea that our long-range rockets and launching mechanisms were so up to speed as well - they're way further along than I thought. This is great stuff. We should be ready for test strikes any day now."""	
1	Obama Administration Releases Nation's Phone Records To Public	President Barack Obama 	"Honesty and openness have always been the hallmarks of my presidency, which is why I believe that everybody should have free access to this essential information, ""We - all of us - are laying our cards on the table here. Now, everyone in the country will know who's calling whom, and when, and how often, and for how long. My administration doesn't have any secrets, and from now on, neither will you."""	
1	"Michele Bachmann Figures Why Not, Introduces Homosexual-Beheading Bill"	Minnesota congresswoman Michele Bachmann 	"I figured, eh, why not; I'm not running for reelection in 2014, I have nothing to lose, and I've been sitting on this bill for nearly five years, so what's it going to hurt to finally throw it into the mix, ""I'm also planning on introducing a Hang All The Muslims bill, the Abortion Doctor Castration Act, and H.R. 264, which would allow me to rip the throat out of any citizen who doesn't believe in creationism. Rip it out with my teeth."""	
1	George W. Bush Having Trouble Finding Decent Cocaine Since Leaving White House	former president George W. Bush 	"I had some real good hookups in D.C., but the shit down here is just terrible, ""I just don't get as high, you know? Sucks, because I could really use some good coke right now. It's commencement season, and God knows how many speeches I'm gonna have to get through."""	
1	Family Concerned After John McCain Wanders Into Syria	Sen. John McCain's wife 	"Unfortunately, this has been happening a lot lately; he'll walk out of the Capitol building, get disoriented, and then we get a call late at night saying that John is in Syria, ""Then one of us has to go to Syria, pick him up, and bring him back to Washington. We're going to have to sit down soon and decide what to do about this before he seriously hurts himself."""	
1	U.S. Still Enjoying Small But Loyal Following	sociologist Sophie Kellerman 	"America does not enjoy the same kind of relevance or widespread acclaim it used to, but there are still a few holdout devotees who closely follow whatever the country does, ""There isn't a whole lot of international appeal anymore, and many former enthusiasts have been disappointed by the country's more recent choices and overall direction. However, there's a certain niche group that seems to remain die-hard fans no matter what."""	
1	Biden Investigated For Questionable Workers' Comp Claim	Vice President Joe Biden 	"Can you believe it? I wrench the hell out of my back while showing a diplomat around the Rose Garden, and now they're trying to take away my disability check? ""I got this jerk-off from the insurance company snooping around, and I keep telling him, ?Listen, buddy, if you don't get off my case, I'm likely to re-aggravate my injury and be off the job even longer.' I'd love to get back to work, but right now my lawyer says the best thing for me to do is take it easy and keep collecting those checks, so that's exactly what Uncle Joe's gonna do."""	
1	"?Our Thoughts Go Out To Oklahoma,' Says Congressman Mentally Calculating When He Can Bring Up Benghazi Again"	U.S. congressman Darrell Issa 	"My sincerest thoughts and prayers go out to everyone affected by this horrible tragedy, ""I am deeply saddened by this tragedy and commend the brave men and women of Oklahoma City for their heroic response to the disaster. The people of California have you in our hearts."""	
1	Joint Chiefs Chairman Pretty Sure He Could Pull Off Junta If He Really Wanted To	Joint Chiefs of Staff chairman Martin Dempsey 	"I'm just saying, there are seven joint chiefs, we all have extensive military training, and we spend a lot of time behind closed doors with the president, ""There really are no insurmountable barriers to eliminating him, declaring martial law, and having tanks on the White House lawn by the end of the day. I can't say that I'm interested in making myself the ruler of a 300-million-person police state, but it certainly would be easier to do than a lot of people think."" Dempsey went on to state that the nation's various police forces and local militia movements would also ""pose no significant threat."" "	
1	Obama Supporter Has Perfectly Improbable Explanation Absolving President From Blame For Scandals	Obama supporter Jake Maynard 	"Look, he's the President of the United States of America; how could he possibly be involved in or aware of every single high-level action taken by the prominent government agencies he oversees? ""Let's watch this thing play out. I have no doubt that in a week, more than enough evidence will come out showing he had nothing to do with any of this. You'll see."""	
1	Sasha Obama Suspicious After Doing A Little Digging Around On Benghazi	first daughter Sasha Obama 	"I'm sorry, but it just doesn't make sense - first they blame the attack on a spontaneous demonstration, but now we find out the CIA talking points were secretly revised? ""Obviously, someone's hiding something: the poor security; the al-Qaeda link; the leaked emails. All I'm asking for here is a simple explanation from the State Department and the White House, and I'm not getting one. I mean, who are they protecting here? And why?"""	
1	"'Fuck You,' Obama Says In Hilarious Correspondents' Dinner Speech"	President Obama 	"No, seriously, each and every one of you cocksuckers can go fuck yourselves; I fucking hate all of you, ""Stop laughing. I'm not fucking kidding, idiots. All of you gathered here today are a bunch of spineless, hypocritical pieces of shit, and I have absolutely zero respect for anyone in this room. So, fuck you all, and may you and your families go straight to fucking hell."""	
1	John Kerry Lost Somewhere In Gobi Desert	U.S. Secretary of State John Kerry 	"Hello! Hello, is there anybody out there who can hear me? ""My name is John Forbes Kerry! I am the United States Secretary of State, and I am lost! Oh, God, almost out of water. Gotta make it back somehow...gotta make it back."""	
1	U.S. Ambassador To Cambodia Thinks Diplomatic Immunity Covers What He Just Did	U.S. ambassador to Cambodia William E. Todd 	"While I would need to consult the exact wording of the 1961 Vienna Convention again to confirm, I'm fairly confident that if you examine sovereign treaty law you'll find that what I just did a few minutes ago cannot be defined as a prosecutable action, ""Of course, in the rare event of a civil suit, the State Department may waive immunity, but persecution isn't taken in the vast majority of cases. That is my understanding, at least."""	
1	"Obama, Rachel Goldstein Really Hitting It Off On Group Trip To Israel"	high school senior Rachel Goldstein 	"It was obvious from the icebreakers we did at the kibbutz that first Shabbat that something was going on with them, ""You should have seen them at Yad Vashem - they were practically holding hands. It's so cute."" "	
1	Obama Sarcastically Asks How Israel Afforded Such A Great Missile Defense System	President Barack Obama 	"Boy, you've gotta have some pretty deep pockets to afford something like this - how much did you say this ran you guys? ""cost Israel an arm and a leg."" ""I mean, wow. I didn't know you guys had this much in the old war chest, but apparently you do. Really, really impressive stuff. No wonder you're so independent."" ""I know exactly how much."" "	
1	Report: Laura's Divorce Threatens Razor-Thin Democratic Majority In Family	political analyst Jake Schumacher 	"With Eric moving out, the stage looks to be set for a swift and decisive Republican takeover of the house, ""If things continue at the current rate, we could see a complete reshaping of the family's agenda on key issues such as taxes, the local school curriculum, and whether [Tea Party supporter] Aunt Marjorie needs to get off her high horse already."""	
1	"'This Is A Pointless Trip,' Obama Says While Shaking Hands With Netanyahu"	President Barack Obama 	"this is a completely pointless visit and a waste of everyone's time. ""This trip will accomplish nothing,""   ""You won't do what I want when it comes to stopping Israeli settlements, and I can't do what you want in terms of dismissing Palestine. Now, pretend to laugh at what I just said so it appears like we get along.""  "	
